,,,,,,,
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
ARMANI,ARMANI CALLIGRAPHY ROSE,,ARMANI CALLIGRAPHY ROSE,3000055,1.00KG,275,$ 75
ARMANI,CODE TOP,,CODE  TOP,240337,1.00KG,850,$ 232
ARMANI,ARMANI CODE ABSOLU TOP,,"ARMANI CODE ABSOLU
TOP",240336,1.00KG,900,$ 245
ARMANI,ARMANI CODE CASHMERE,,ARMANI CODE CASHMERE,3000056,1.00KG,275,$ 75
ARMANI,ARMANI CODE ICE,,ARMANI CODE ICE,3000057,1.00KG,275,$ 75
ARMANI,IN LOVE WITH YOU,,IN LOVE WITH YOU,3000058,1.00KG,275,$ 75
ARMANI,MUSC SHAMAL PRIVE,,MUSC SHAMAL PRIVE,3000059,1.00KG,275,$ 75
ARMANI,SI FIORI,,SI FIORI,3000060,1.00KG,275,$ 75
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
ARMANI,SI PASSIONE,,SI PASSIONE,240129,1.00KG,580,$ 158
ARMANI,STRONGER WITH YOU INTENSELY,,STRONGER WITH YOU INTENSELY,240141,1.00KG,700,$ 191
ARMANI,"STRONGER WITH YOU
ABSOULETLY",,"STRONGER WITH YOU
ABSOULETLY",240142,1.00KG,650,$ 178
ARMANI,MY WAY,,MY WAY,3000061,1.00KG,440,$ 120
ARMANI,MY WAY INTENSE,,MY WAY INTENSE,250144,1.00KG,600,$ 164
ARMANI,CUIR ZERZURA,,CUIR ZERZURA,3000063,1.00KG,610,$ 167
ARMANI,SI PASSIONE INTENSE,,SI PASSIONE INTENSE,3000064,1.00KG,275,$ 75
ARMANI,SI PASSIONE ECLAT,,SI PASSIONE ECLAT,3000065,1.00KG,500,$ 137
ARMANI,"STRONGER WITH YOU
LEATHER",,"STRONGER WITH YOU
LEATHER",3000066,1.00KG,275,$ 75
ARMANI,OCEAN DI GIOIA,,OCEAN DI GIOIA,3000067,1.00KG,275,$ 75
ARMANI,"STRONGER WITH  YOU ONLY
MEN",,"STRONGER WITH  YOU ONLY
MEN",3000068,1.00KG,500,$ 137
ARMANI,MY WAY FLORAL,,MY WAY FLORAL,3000069,1.00KG,350,$ 96
ARMANI,STRONGER WITH YOU OUD,,STRONGER WITH YOU OUD,3000070,1.00KG,275,$ 75
ARMANI,"SI PASSIONE ECLAT DE
PARFUM",,SI PASSIONE ECLAT DE,3643GH,1.00KG,705,$ 205
ARMANI,JAWHARA ORIENTAL,,JAWHARA ORIENTAL,3000071,1.00KG,300,$ 82
ARMANI PRIVE,PRIVE VERT MALACHITE,,PRIVE VERT MALACHITE,240223,1.00KG,750,$ 205
ARMANI PRIVE,ROUGE MALACHITE TOP,,ROUGE MALACHITE,240089,1.00KG,770,$ 210
ARMANI PRIVE,Rondò Armaniano,,Rondò Armaniano,D3434FGG,1.00KG,1500,$ 409
ATEEQ ALOUD,ATEEQ AL OUD,LZ,MAGIC OF EAST,555839-K,1.00KG,900,$ 246
ATELIER COLONGE,CLEMENTINE CALIFORNIA,,CLEMENTINE CALIFORNIA,1.00KG,240942,700,$ 191
ATELIER COLOGNE,GOLD LEATHER,,GOLD LEATHER,3000072,1.00KG,275,$ 75
ATELIER COLONGE,OUD SAPHIR,,OUD SAPHIR,3000073,1.00KG,660,$ 180
ATELIER REBUL,ISTANBUL,LZ,BOSPHORUS DELIGHT,503854,1.00KG,330,$ 90
ATKINSONS,OUD SAVE THE KING TOP,,OUD SAVE THE KING TOP,240585,1.00KG,850,$ 232
ATTAR AL HASK,SKIN MUSK,,SKIN MUSK,250457,1.00KG,550,$ 150
ATTAR COLLECTION,AL RAYHAN,LZ,EMERALDI,261024-A,1.00KG,390,$ 107
ATTAR COLLECTION,HAYATI,LZ,RUBINI,461909,1.00KG,275,$ 75
ATTAR COLLLECTION,MUSK KASHMIR,,MUSK KASHMIR,240300,1.00KG,275,$ 75
ATTAR COLLLECTION,MUSK KASHMIR TOP,,MUSK KASHMIR TOP,240178,1.00KG,900,$ 245
ATTAR COLLECTION,MUSK KASHMIR,LZ,ORIENTAL LUXURY,233777,1.00KG,770,$ 210
ATTAR COLLECTION,CRISTAL LOVE FOR HER,LZ,PURE DIAMOND,343883,1.00KG,550,$ 150
ATTAR COLLECTION,AREEJ,LZ,DREAM OF A FLOWER,504034,1.00KG,1400,$ 383
ATTAR COLLECTION,AREEJ,LZ,DREAM OF A FLOWER,504034-C,1.00KG,390,$ 107
AVON,TODAY,LZ,NOW,232491,1.00KG,275,$ 75
AXE,AXE COLLISION,,AXE COLLISION,3000074,1.00KG,275,$ 75
AZZARO,POUR ELLE 2025,,POUR ELLE 2025,250259,1.00KG,585,$ 160
AZZARO,MOST WANTED INTENSE,,MOST WANTED INTENSE,250041,1.00KG,1000,$ 273
AZZARO,FOREVER WANTED ELIXIR,,FOREVER WANTED ELIXIR,250015,1.00KG,1100,$ 301
AZZARO,THE MOST WANTED PARFUM,,THE MOST WANTED PARFUM,240709,1.00KG,900,$ 245
AZZARO,THE MOST WANTED TOP,,THE MOST WANTED TOP,240199,1.00KG,1000,$ 273
AZZARO,AZZARO CLUB WOMAN,,AZZARO CLUB WOMAN,3000075,1.00KG,275,$ 75
AZZARO,CHROME EXTREME,,CHROME EXTREME,3000076,1.00KG,275,$ 75
AZZARO,CROME AQUA FOR MEN,,CROME AQUA FOR MEN,3000077,1.00KG,275,$ 75
AZZARO,WANTED TOP,,WANTED TOP,240320,1.00KG,550,$ 150
AZZARO,WANTED BY NIGHT TOP,,WANTED BY NIGHT TOP,240393,1.00KG,700,$ 191
AZZARO,WANTED GIRL  BY NIGHT,,WANTED GIRL  BY NIGHT,3000078,1.00KG,275,$ 75
