fatima ,,,,
,,,,
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BORNTOSTANDOUT,L ANIMAL,S40026,$164,600
BORNTOSTANDOUT,DRUNK SAFFRON,PB584,$218,800
BORNTOSTANDOUT,OUD CANDY,P0042,$287,1050
BOUCHERON,BOUCHERON QUATRE,,$191,700
BOUCHERON,ROSE D'ISPARTA,,$251,920
BRITNEY SPEARS,FANTACY  HM,,$145,530
BRITNEY SPEARS,FANTASY  TOP,,$161,590
BRITNEY SPEARS,FANTASY  (MEDIUM),,$130,475
BRITNEY SPEARS,FANTASY THE NICE REMIX,,$130,475
BRITNEY SPEARS,MIDNIGHT FANTASY LZ,,$130,475
BRITNEY SPEARS,MIDNIGHT FANTASY,,$130,475
BRITNEY SPEARS,SUNSET FANTASY,,$130,475
BRITNEY SPEARS,JUNGLE FANTASY,,$150,550
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BURBERRY,HER INTENSE,PB0.6,$286,1050
BURBERRY,TOUCH FOR WOMEN,PB02.5,$185,680
BURBERRY,GODDESS EDP INTENSE,,$150,550
BURBERRY,BURBERRY BODY,S400284,$96,350
BURBERRY,BURBERRY HER BLOSSOM,,$169,620
BURBERRY,BURBERRY THE BEAT WOMAN,,$130,475
BURBERRY,WEEKEND FOR WOMEN TOP,,$145,530
BURBERRY,MY BURBERRY,,$130,475
BURBERRY,MY BURBERRY BLUSH,,$145,530
BURBERRY,HERO,,$145,530
BURBERRY,GODDESS PARFUM,PB0548,$245,900
BURBERRY,GODDESS TOP,S400329,$213,780
BURBERRY,BURBERRY HER ELIXIR,S40020,$123,450
BURBERRY,BURBERRY HER TOP,S40040,$186,680
BURBERRY,BURBERRY HERO PARFUM INTENSE,S400403,$183,670
BURBERRY,HIGH TEA,,$219,800
BURBERRY,HERO EAU DE PARFUM,,$130,475
BVLGARI,AQUA MAN,,$130,475
BVLGARI,BVLGARI AMARA AQUA,,$130,475
BVLGARI,BVLGARI MAN,,$130,475
BVLGARI,EAU PERFUMEE AU THE NOIR,,$221,810
BVLGARI,GYAN,,$175,640
