BRAND,NAME,ORI,CN CODE,QTY,AED,USD
FATIMA,BAKHOOR DEWAN AL SHARQ,ARABIAN OUD / BAKHOOR DEWAN AL SHARQ,,1,590.00,161.00
FATIMA,KALIMAT TOP,ARABIAN OUD / KALIMAT TOP,S40048,1,740.00,202.00
FATIMA,MABSOOS,ARABIAN OUD / MABSOOS,,1,530.00,145.00
FATIMA,MAJESTIC SPECIAL OUD,ARABIAN OUD / MAJESTIC SPECIAL OUD,,1,475.00,130.00
FATIMA,MAJOON,ARABIAN OUD / MAJOON,,1,590.00,161.00
FATIMA,SULTANI,ARABIAN OUD / SULTANI,PB801,1,900.00,245.00
FATIMA,OUD MOODY,ARABIAN OUD / OUD MOODY,,1,530.00,145.00
FATIMA,MADAWI,ARABIAN OUD / MADAWI,,1,550.00,150.00
FATIMA,MADAWI 40 YEARS GOLD EDITION,ARABIAN OUD / MADAWI 40 YEARS GOLD EDITION,,1,550.00,150.00
FATIMA,HAREEM AL SULTAN,ARD AL ZAAFRAN / HAREEM AL SULTAN,,1,475.00,130.00
FATIMA,DIRHAM,ARD AL ZAAFRAN / DIRHAM,,1,475.00,130.00
FATIMA,THANK U NEXT,ARIANA GRANDE / THANK U NEXT,PB580,1,700.00,191.00
FATIMA,CLOUD,ARIANA GRANDE / CLOUD,PB840,1,750.00,204.00
FATIMA,CLOUD PINK,ARIANA GRANDE / CLOUD PINK,PB5900,1,1300.00,355.00
FATIMA,MOD VANILLA,ARIANA GRANDE / MOD VANILLA,,1,660.00,180.00
FATIMA,THANK U NEXT,ARIANA GRANDE / THANK U NEXT,,1,620.00,169.00
FATIMA,ARI -ARIANE GRANDE,ARIANE GRANDE / ARI -ARIANE GRANDE,,1,730.00,199.00
FATIMA,ARMANI CODE FOR WOMAN,ARIANE GRANDE / ARMANI CODE FOR WOMAN,,1,700.00,191.00
FATIMA,CLUB DE NUIT INTENSE,ARMAF / CLUB DE NUIT INTENSE,PB-849,1,600.00,164.00
FATIMA,CLUB DE NUIT INTENSE TOP,ARMAF / CLUB DE NUIT INTENSE TOP,,1,1050.00,286.00
FATIMA,ODYSSEY DUBAI CHOCOLATE,ARMAF / ODYSSEY DUBAI CHOCOLATE,PB809,1,1050.00,286.00
FATIMA,AL LAYL,ARABIYAT OUD / AL LAYL,PB9805,1,650.00,178.00
FATIMA,IN RED,ARMAND BASI / IN RED,,1,590.00,161.00
FATIMA,STRONGER WITH YOU POWERFULLY,ARMANI / STRONGER WITH YOU POWERFULLY,,1,700.00,191.00
FATIMA,MY WAY SUNNY VANILLA,ARMANI / MY WAY SUNNY VANILLA,PB05050,1,800.00,218.00
FATIMA,PRIVE IRIS BLEU,ARMANI / PRIVE IRIS BLEU,PB0295,1,1300.00,355.00
FATIMA,SI PERFUME,ARMANI / SI PERFUME,PB029,1,900.00,245.00
FATIMA,SI PASSIONE RED MUSK,ARMANI / SI PASSIONE RED MUSK,PB089,1,1100.00,301.00
FATIMA,CODE EAU DE PARFUM,ARMANI / CODE EAU DE PARFUM,PB570,1,1050.00,286.00
FATIMA,THE YULONG,ARMANI / THE YULONG,PB580,1,1500.00,409.00
FATIMA,STRONGER WITH YOU SANDALWOOD TOP,ARMANI / STRONGER WITH YOU SANDALWOOD TOP,S400444,1,1100.00,301.00
FATIMA,STRONGER WITH YOU SPICES,ARMANI / STRONGER WITH YOU SPICES,,1,760.00,207.00
FATIMA,MY WAY YLANG,ARMANI / MY WAY YLANG,PB689,1,1050.00,286.00
FATIMA,PRIVE ROSE D ARABIE,ARMANI / PRIVE ROSE D ARABIE,PB690,1,1150.00,314.00
FATIMA,PRIVE OUD ROYAL,ARMANI / PRIVE OUD ROYAL,PB8005,1,1500.00,409.00
FATIMA,ATTITUDE,ARMANI / ATTITUDE,PB805,1,780.00,213.00
FATIMA,SI INTENSE,ARMANI / SI INTENSE,PB508,1,1200.00,301.00
FATIMA,ACQUA DI GIOIA INTENSE,ARMANI / ACQUA DI GIOIA INTENSE,PB980,1,780.00,213.00
FATIMA,MY WAY NECTAR,ARMANI / MY WAY NECTAR,PB802,1,800.00,218.00
FATIMA,SI EDP INTENSE TOP,ARMANI / SI EDP INTENSE TOP,PB809,1,1050.00,286.00
FATIMA,ROUGE MALACHITE,ARMANI / ROUGE MALACHITE,,1,980.00,267.00
FATIMA,ACQUA DI GIO ELIXIR TOP,ARMANI / ACQUA DI GIO ELIXIR TOP,S400434,1,1100.00,301.00
FATIMA,RONDO ARMANIANO,ARMANI / RONDO ARMANIANO,PB802,1,1700.00,464.00
FATIMA,ACQUA DI GIO ABSOLU TOP,ARMANI / ACQUA DI GIO ABSOLU TOP,S40081,1,630.00,172.00
FATIMA,ACQUA DI GIO POUR HOMME TOP,ARMANI / ACQUA DI GIO POUR HOMME TOP,S400174,1,450.00,123.00
FATIMA,AQUA DI GIOIA LIGHT,ARMANI / AQUA DI GIOIA LIGHT,,1,475.00,130.00
FATIMA,SI NUDE BLOOM,ARMANI / SI NUDE BLOOM,S400402,1,650.00,177.00
FATIMA,ARMANI CALLIGRAPHY ROSE,ARMANI / ARMANI CALLIGRAPHY ROSE,,1,475.00,130.00
FATIMA,SI PASSIONE RED BLOOM (2026),ARMANI / SI PASSIONE RED BLOOM (2026),S400246,1,636.00,173.00
FATIMA,ARMANI CODE,ARMANI / ARMANI CODE,29598-I,1,450.00,123.00
FATIMA,ARMANI CODE ABSOLU,ARMANI / ARMANI CODE ABSOLU,,1,475.00,130.00
FATIMA,ARMANI CODE BLACK,ARMANI / ARMANI CODE BLACK,,1,475.00,130.00
FATIMA,ARMANI CODE CASHMERE,ARMANI / ARMANI CODE CASHMERE,S400398,1,440.00,120.00
FATIMA,OUD NACRE,ARMANI / OUD NACRE,PB4002,1,1700.00,464.00
FATIMA,ARMANI CODE PARFUM,ARMANI / ARMANI CODE PARFUM,,1,447.00,122.00
FATIMA,ARMANI CODE ICE,ARMANI / ARMANI CODE ICE,,1,475.00,130.00
FATIMA,ARMANI PRIVE OUD,ARMANI / ARMANI PRIVE OUD,,1,475.00,130.00
FATIMA,ARMANI PRIVE PIVOINE SUZHOU,ARMANI / ARMANI PRIVE PIVOINE SUZHOU,,1,750.00,205.00
FATIMA,IN LOVE WITH YOU,ARMANI / IN LOVE WITH YOU,,1,475.00,130.00
FATIMA,MUSC SHAMAL PRIVE,ARMANI / MUSC SHAMAL PRIVE,,1,475.00,130.00
FATIMA,PRIVE VERT MALACHITE,ARMANI / PRIVE VERT MALACHITE,,1,475.00,130.00
FATIMA,SI FIORI,ARMANI / SI FIORI,,1,475.00,130.00
FATIMA,SI PASSIONE TOP,ARMANI / SI PASSIONE TOP,S40041,1,600.00,164.00
FATIMA,SI PASSIONE SP,ARMANI / SI PASSIONE SP,S400389,1,460.00,126.00
FATIMA,SI,ARMANI / SI,S400266,1,640.00,175.00
FATIMA,ACQUA DI GIO ABSOLU INSTINCT,ARMANI / ACQUA DI GIO ABSOLU INSTINCT,,1,730.00,199.00
FATIMA,MUSC SHAMAL,ARMANI / MUSC SHAMAL,,1,730.00,199.00
FATIMA,MY WAY TOP,ARMANI / MY WAY TOP,S400324,1,970.00,265.00
FATIMA,SI FIORI,ARMANI / SI FIORI,,1,640.00,175.00
FATIMA,SABLE NUIT,ARMANI / SABLE NUIT,,1,810.00,221.00
FATIMA,AQUA DI GIO PROFONDO LIGHTS 2021,ARMANI / AQUA DI GIO PROFONDO LIGHTS 2021,,1,860.00,235.00
FATIMA,MY WAY INTENSE,ARMANI / MY WAY INTENSE,,1,530.00,145.00
FATIMA,STRONGER WITH YOU INTENSELY,ARMANI / STRONGER WITH YOU INTENSELY,S40057,1,660.00,180.00
FATIMA,STRONGER WITH YOU ABSOLUTELY,ARMANI / STRONGER WITH YOU ABSOLUTELY,S40062,1,640.00,175.00
FATIMA,STRONGER WITH YOU TOBACCO,ARMANI / STRONGER WITH YOU TOBACCO,S40087,1,930.00,255.00
FATIMA,STRONGER WITH YOU TOBACCO TOP,ARMANI / STRONGER WITH YOU TOBACCO TOP,S400436,1,1000.00,273.00
FATIMA,CUIR ZERZURA,ARMANI / CUIR ZERZURA,,1,810.00,221.00
FATIMA,SI PASSIONE INTENSE,ARMANI / SI PASSIONE INTENSE,,1,475.00,130.00
FATIMA,SI PASSIONE ECLAT,ARMANI / SI PASSIONE ECLAT,,1,700.00,191.00
FATIMA,STRONGER WITH YOU LEATHER,ARMANI / STRONGER WITH YOU LEATHER,,1,475.00,130.00
FATIMA,OCEAN DI GIOIA,ARMANI / OCEAN DI GIOIA,,1,475.00,130.00
FATIMA,STRONGER WITH YOU MAN,ARMANI / STRONGER WITH YOU MAN,S400274,1,400.00,109.00
FATIMA,STRONGER WITH YOU ONLY MEN,ARMANI / STRONGER WITH YOU ONLY MEN,,1,700.00,191.00
FATIMA,POWER OF YOU TOP,ARMANI / POWER OF YOU TOP,S400478,1,1100.00,301.00
FATIMA,MY WAY FLORAL,ARMANI / MY WAY FLORAL,,1,550.00,150.00
FATIMA,STRONGER WITH YOU OUD TOP,ARMANI / STRONGER WITH YOU OUD TOP,,1,980.00,268.00
FATIMA,ARMANI CODE PARFUM,ARMANI / ARMANI CODE PARFUM,,1,700.00,191.00
FATIMA,STRONGER WITH YOU TOBACCO,ARMANI / STRONGER WITH YOU TOBACCO,,1,730.00,199.00
FATIMA,ACQUA DI GIO PROFONDO PARFUM,ARMANI / ACQUA DI GIO PROFONDO PARFUM,S400204,1,800.00,219.00
FATIMA,ACQUA DI GIO PROFONDO,ARMANI / ACQUA DI GIO PROFONDO,S40074,1,330.00,90.00
FATIMA,ACQUA DI GIO PROFUMO TOP,ARMANI / ACQUA DI GIO PROFUMO TOP,S40058,1,720.00,196.00
FATIMA,STRONGER WITH YOU PARFUM MEN,ARMANI / STRONGER WITH YOU PARFUM MEN,,1,570.00,156.00
FATIMA,ACQUA DI GIO ELIXIR,ARMANI / ACQUA DI GIO ELIXIR,,1,1090.00,298.00
FATIMA,MY WAY YLANG,ARMANI / MY WAY YLANG,,1,830.00,227.00
FATIMA,ARMANI CODE,ARMANI / ARMANI CODE,S400262,1,440.00,120.00
FATIMA,ARMANI CODE ELIXIR,ARMANI / ARMANI CODE ELIXIR,,1,810.00,221.00
